id,renewal,incentives
649,1.0,3594.0
81136,1.0,13674.0
70762,0.9,12270.0
53935,1.0,6114.0
15476,0.6,6546.0
64797,0.8,10866.0
67412,0.8,2802.0000000000005
44241,0.6,3522.0
5069,1.0,16194.0
16615,1.0,33834.0
84281,0.8,18930.0
82623,0.8,786.0
86475,0.2,2442.0
68263,1.0,1074.0
113135,0.8,786.0
45532,0.8,16914.0
102161,1.0,8634.0
84789,0.5,17994.0
62398,1.0,13674.0
70148,1.0,3594.0
102487,0.6,9570.0
100513,0.5,6654.0
92702,0.7,4422.0
25051,0.3,3090.0
92920,0.9,14538.000000000002
25520,1.0,13674.0
81869,1.0,46434.0
75402,0.9,7734.000000000001
34053,0.5,354.0
21191,1.0,11154.0
10864,1.0,6114.0
6349,0.9,7734.000000000001
85213,1.0,8634.0
17255,0.8,4818.0
108351,0.2,426.0000000000001
51437,0.8,10866.0
88629,0.3,6870.0
85367,1.0,1074.0
12313,0.7,642.0
71659,0.9,12270.0
35142,1.0,6114.0
62988,1.0,21234.0
8793,0.9,3198.0000000000005
11433,1.0,11154.0
30586,1.0,21234.0
53012,1.0,3594.0
87924,1.0,8634.0
106177,1.0,13674.0
63058,1.0,21234.0
99537,1.0,16194.0
35336,0.3,6870.0
78691,0.7,642.0
16161,1.0,11154.0
94318,1.0,6114.0
96583,1.0,3594.0
104560,1.0,6474.0
19638,1.0,31314.0
26080,1.0,13674.0
113482,1.0,8634.0
82175,1.0,3594.0
1239,1.0,3594.0
32521,0.1,1038.0
68529,1.0,8634.0
38882,0.2,930.0
8299,1.0,3594.0
98521,0.9,14538.000000000002
47257,0.9,7734.000000000001
42445,1.0,16194.0
104700,0.6,9570.0
109204,0.9,14538.000000000002
20138,0.3,3090.0
28468,1.0,26274.0
94964,0.3,5358.0
59773,0.6,2010.0
17261,1.0,21234.0
9570,0.5,1614.0
55159,0.3,1578.0
82480,1.0,3594.0
51225,0.2,1434.0000000000002
53176,0.5,354.0
82883,0.8,2802.0000000000005
63590,1.0,21234.0
50906,0.5,7914.0
21635,0.7,9462.0
84000,0.9,5466.0
79029,1.0,21234.0
60256,1.0,18714.0
110660,0.9,3198.0000000000005
51023,0.9,23610.0
99146,0.8,10866.0
93878,1.0,6114.0
93845,1.0,3594.0
5364,0.5,354.0
106612,1.0,11154.0
79928,1.0,11154.0
94761,0.3,6870.0
7126,0.9,12270.0
82176,1.0,11154.0
53475,0.0,0.0
88108,1.0,21234.0
65166,0.9,930.0
65378,1.0,6114.0
47119,0.4,5250.0
64338,1.0,26274.0
48872,0.6,2010.0
26061,1.0,18714.0
78191,1.0,11154.0
108224,0.9,12270.0
47646,0.7,642.0
63423,0.9,12270.0
109453,1.0,8634.0
43299,1.0,8634.0
86879,0.6,5034.0
51882,0.9,14538.000000000002
84497,0.1,1038.0
19699,0.9,21342.0
52164,1.0,13674.0
36055,0.9,5466.0
17844,1.0,26274.0
12006,1.0,11154.0
51731,1.0,11154.0
101823,1.0,11154.0
70611,0.9,14538.000000000002
57291,0.6,8058.0
3315,1.0,13674.0
6841,0.7,5934.0
95636,0.4,3234.0000000000005
89508,1.0,8634.0
78357,0.4,4242.0
30363,1.0,16194.0
65880,0.5,6654.0
79166,1.0,6114.0
16883,0.9,14538.000000000002
19400,1.0,3594.0
97846,1.0,18714.0
35938,0.8,4818.0
109739,0.9,5466.0
7542,0.5,1614.0
62506,1.0,21234.0
106686,0.7,9462.0
22500,1.0,6114.0
73566,0.4,3234.0000000000005
34462,1.0,16194.0
109,0.8,14898.000000000002
82344,1.0,26274.0
70324,1.0,23754.0
47235,1.0,8634.0
78355,1.0,11154.0
97012,0.8,6834.000000000001
103271,1.0,13674.0
54640,1.0,6114.0
18452,0.7,7698.0
80733,0.6,9570.0
22069,1.0,23754.0
63586,1.0,13674.0
63069,1.0,8634.0
66451,1.0,23754.0
5163,1.0,6114.0
6542,1.0,21234.0
79333,1.0,13674.0
8752,1.0,13674.0
37396,1.0,11154.0
27502,0.6,9570.0
65597,1.0,8634.0
50178,1.0,13674.0
51709,0.7,12990.0
32294,1.0,11154.0
76360,1.0,8634.0
51635,1.0,3594.0
103391,0.2,930.0
59747,0.4,210.0
21498,1.0,16194.0
18771,1.0,6474.0
34501,1.0,1074.0
77807,0.9,3198.0000000000005
26350,0.8,5106.0
105355,1.0,21234.0
5469,1.0,3594.0
23826,0.1,1038.0
9399,1.0,16194.0
44862,1.0,3594.0
104114,0.8,786.0
20407,0.9,3198.0000000000005
7541,1.0,8634.0
72892,0.5,1614.0
81994,1.0,26274.0
111007,1.0,6114.0
83350,1.0,16194.0
55682,0.9,7734.000000000001
26680,1.0,3594.0
109949,1.0,6114.0
12482,1.0,1074.0
108210,0.9,7734.000000000001
35717,1.0,16194.0
74030,0.7,9462.0
18407,0.5,5394.0
113337,0.4,2226.0
81673,1.0,6114.0
80808,1.0,11154.0
87300,1.0,8634.0
113610,0.9,930.0
68221,1.0,28794.0
32307,1.0,13674.0
53974,1.0,13674.0
80255,1.0,8634.0
37547,1.0,18714.0
62782,1.0,13674.0
60206,1.0,23754.0
109533,1.0,11154.0
31952,0.3,4602.0
31266,0.9,930.0
49517,0.8,6834.000000000001
52843,0.6,9570.0
107949,0.9,7734.000000000001
50424,0.8,10866.0
28080,1.0,6114.0
63289,0.8,10866.0
59792,0.4,210.0
8600,1.0,6114.0
30415,1.0,16194.0
92033,1.0,8634.0
51339,0.5,2874.0
104556,1.0,16194.0
67550,1.0,6474.0
71744,0.3,3090.0
49589,1.0,1074.0
17018,0.9,30414.000000000004
34936,0.2,1434.0000000000002
110058,1.0,6114.0
67668,1.0,11154.0
75859,1.0,6114.0
38878,0.9,44022.0
107894,1.0,1074.0
63438,0.9,10002.0
75713,1.0,3594.0
15713,0.8,14898.000000000002
34402,1.0,11154.0
40084,1.0,3594.0
64940,0.8,2802.0000000000005
66279,1.0,16194.0
77818,0.5,14214.0
63889,1.0,8634.0
48861,1.0,3594.0
26520,1.0,43914.0
66559,1.0,11154.0
24068,0.3,1578.0
20211,0.8,57234.00000000001
86715,1.0,11154.0
68601,1.0,1074.0
95696,1.0,11154.0
60049,0.8,6834.000000000001
7620,0.5,4134.0
42468,1.0,6114.0
106475,0.9,14538.000000000002
43145,0.9,34950.0
102597,1.0,6114.0
93680,0.4,6258.000000000001
37065,0.8,8850.0
49472,1.0,8634.0
45364,0.9,34950.0
112287,0.7,7698.0
90044,1.0,8634.0
40999,1.0,6474.0
93637,1.0,11154.0
47689,1.0,11154.0
15068,1.0,11154.0
67323,0.9,10002.0
285,0.8,786.0
76543,0.9,19074.0
52901,0.3,4602.0
10299,1.0,8634.0
8199,0.2,2442.0
10875,0.3,3090.0
36812,1.0,48954.0
110,0.8,8850.0
25682,1.0,6474.0
7331,1.0,11154.0
76947,0.8,786.0
28303,0.6,5034.0
32212,0.2,2946.0000000000005
18692,1.0,23754.0
75865,1.0,3594.0
74466,0.8,6834.000000000001
81378,0.9,14538.000000000002
85492,0.8,786.0
67992,0.8,4818.0
12527,1.0,18714.0
48212,0.6,3522.0
61180,0.9,5466.0
56340,0.9,5466.0
64227,1.0,16194.0
35539,0.9,5466.0
9233,1.0,8634.0
97645,0.9,3198.0000000000005
106742,0.2,1434.0000000000002
84955,0.6,498.0
36443,0.6,21666.0
2970,0.1,30.000000000000057
48583,0.7,14754.0
67490,0.9,10002.0
45242,1.0,11154.0
83608,1.0,8634.0
86807,0.8,10866.0
92793,1.0,31314.0
32458,1.0,8634.0
18258,1.0,18714.0
93246,0.4,5250.0
29747,0.6,8058.0
44469,1.0,6114.0
18998,1.0,26274.0
100686,1.0,3594.0
21670,1.0,6114.0
106701,1.0,16194.0
21844,1.0,13674.0
61174,1.0,3594.0
933,1.0,69114.0
563,1.0,3594.0
90185,1.0,6114.0
29080,0.9,14538.000000000002
32967,0.9,5466.0
110889,1.0,8634.0
54059,0.9,32682.0
86664,1.0,28794.0
72104,1.0,13674.0
82239,0.9,7734.000000000001
59755,0.6,3522.0
1785,0.9,5466.0
36377,0.9,5466.0
73334,0.7,5934.0
26731,1.0,41394.0
78548,1.0,8634.0
54472,0.9,3198.0000000000005
70631,1.0,3594.0
44942,0.6,5034.0
54130,0.8,4818.0
